Catálogo;Grupo de codes;Texto breve;Criado por;Data de criação;Modificado por;Data de modificação;Código de utilização;Registro inativo;Status grupo d/codes
2;01-VAZAO;VAZAO;CGMPR1;11/11/2000;;;;;2
2;02-LEIT;LEITURA;CGMPR1;11/11/2000;;;;;2
2;03-PRESS;PRESSÃO DE SAIDA;CGMPR1;07/02/2001;CGMPR1;07/02/2001;;;2
2;CIVIL-32;MANUTENÇÃO CIVIL SERVIÇO 32;CGMPR1;20/04/2001;;;;;2
2;PM-EXEC;Executante do Serviço;CS210482;08/01/2015;;;;;2
5;EST.CRM;CAUSAS ESTAÇÕES E CRMs;LAMARANTE;08/05/2003;;;;;2
5;PM-ATERR;Causas Aterramento;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-BARRE;Causas Barreira;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-BATER;Causas Bateria Telemetria;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-BOMBA;Causas Bomba Odorante;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-COMVA;Computador de Vazão;CS097044;15/12/2015;;;;;2
5;PM-CONTR;Causas Controlador;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-DDR;Causas Drenagem;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-DTLOG;Causas Data-Logger;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-FILTR;Causas Filtro;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-FONTE;Causas Fonte;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-MEDID;Causas Medidor;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-MODEM;Causas Telemetria - Modem;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-PASOL;Causas Telemetria - Painel Solar;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-PELET;Causas Painel Elétrico;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-PILOT;Causas Piloto;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-PLC;PLC;CS097044;15/12/2015;;;;;2
5;PM-PT;Causas Ponto de Teste;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-PTZ;Causas PTZ;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-REGUL;Causas Regulador;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-RET;Causas Retificador;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-SHOFF;Causas Válvula Shut-Off;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-TELOP;Causas Telemetria - Sinal da Operadora;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-TRANS;Causas Transmissores;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-VALIV;Causas Válvula de Alívio;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-VBLOQ;Causas Válvulas de Bloqueio;CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-VBRED;Causas Válvula de Rede (VB);CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-VGB;Causas Válvula Geral de Bloqueio (VGB);CS210482;08/01/2015;CS210482;08/01/2015;;;2
5;PM-VRETE;Causas Válvula de Retenção;CS210482;08/01/2015;CS210482;08/01/2015;;;2
A;04-USUAR;TIPO DE USUARIO;PMCONS;27/10/2000;;;;;2
A;14-PESSL;PESSOAL ENVOLVIDO;PMCONS;27/10/2000;;;;;2
A;CHAMADO;CHAMADO;LAMARANTE;08/05/2003;;;;;2
A;CONSERVA;CONSERVAÇÃO DA ESTAÇÃO;LAMARANTE;08/05/2003;;;;;2
A;CORR.DEF;CORRENTE COM DEFEITO;LAMARANTE;08/05/2003;;;;;2
A;CORR.OPE;CORRENTE OPERANDO;LAMARANTE;08/05/2003;;;;;2
A;DFENCONT;DEFEITO ENCONTRADO;LAMARANTE;05/06/2003;;;;;2
A;EQUIP.OP;EQUIPAMENTO OPERANDO;LAMARANTE;06/06/2003;;;;;2
A;EQUIPAME;AÇÕES PARA OS EQUIPAMENTOS;LAMARANTE;08/05/2003;;;;;2
A;ER-APROV;APROVEITAMENTO DA VALA;TR010375;31/10/2017;;;;;2
A;ER-CLAVZ;CLASSIFICACAO VAZ_EMG;TR007435;19/01/2018;;;;;2
A;ER-CONSG;NUMERO DE CONSUMIDORES SEM GAS;TR010375;31/10/2017;;;;;2
A;ER-DANOS;DANOS;TR010375;31/10/2017;;;;;2
A;ER-DIAM;DIÂMETRO DA REDE;TR010375;31/10/2017;;;;;2
A;ER-LOVAZ;LOCALIZACAO DO VAZAMENTO;TR010375;31/10/2017;;;;;2
A;ER-MATUB;MATERIAL DA TUBULACAO;TR010375;31/10/2017;;;;;2
A;ER-MOTVZ;MOTIVO DO VAZAMENTO;TR010375;31/10/2017;;;;;2
A;ER-PAV;RECOMPOSIÇÃO DE PAVIMENTO;TR010375;31/10/2017;;;;;2
